path,category
train/buildings/0000.jpg,buildings
train/buildings/0001.jpg,buildings
train/buildings/0002.jpg,buildings
train/buildings/0003.jpg,buildings
train/buildings/0004.jpg,buildings
train/buildings/0005.jpg,buildings
train/buildings/0006.jpg,buildings
train/buildings/0007.jpg,buildings
train/buildings/0008.jpg,buildings
train/buildings/0009.jpg,buildings
train/buildings/0010.jpg,buildings
train/buildings/0011.jpg,buildings
train/buildings/0012.jpg,buildings
train/buildings/0013.jpg,buildings
train/buildings/0014.jpg,buildings
train/buildings/0015.jpg,buildings
train/buildings/0016.jpg,buildings
train/buildings/0017.jpg,buildings
train/buildings/0018.jpg,buildings
train/buildings/0019.jpg,buildings
train/buildings/0020.jpg,buildings
train/buildings/0021.jpg,buildings
train/buildings/0022.jpg,buildings
train/buildings/0023.jpg,buildings
train/buildings/0024.jpg,buildings
train/buildings/0025.jpg,buildings
train/buildings/0026.jpg,buildings
train/buildings/0027.jpg,buildings
train/buildings/0028.jpg,buildings
train/buildings/0029.jpg,buildings
train/buildings/0030.jpg,buildings
train/buildings/0031.jpg,buildings
train/buildings/0032.jpg,buildings
train/buildings/0033.jpg,buildings
train/buildings/0034.jpg,buildings
train/buildings/0035.jpg,buildings
train/buildings/0036.jpg,buildings
train/buildings/0037.jpg,buildings
train/buildings/0038.jpg,buildings
train/buildings/0039.jpg,buildings
train/buildings/0040.jpg,buildings
train/buildings/0041.jpg,buildings
train/buildings/0042.jpg,buildings
train/buildings/0043.jpg,buildings
train/buildings/0044.jpg,buildings
train/buildings/0045.jpg,buildings
train/buildings/0046.jpg,buildings
train/buildings/0047.jpg,buildings
train/buildings/0048.jpg,buildings
train/buildings/0049.jpg,buildings
train/buildings/0050.jpg,buildings
train/buildings/0051.jpg,buildings
train/buildings/0052.jpg,buildings
train/buildings/0053.jpg,buildings
train/buildings/0054.jpg,buildings
train/buildings/0055.jpg,buildings
train/buildings/0056.jpg,buildings
train/buildings/0057.jpg,buildings
train/buildings/0058.jpg,buildings
train/buildings/0059.jpg,buildings
train/buildings/0060.jpg,buildings
train/buildings/0061.jpg,buildings
train/buildings/0062.jpg,buildings
train/buildings/0063.jpg,buildings
train/buildings/0064.jpg,buildings
train/buildings/0065.jpg,buildings
train/buildings/0066.jpg,buildings
train/buildings/0067.jpg,buildings
train/buildings/0068.jpg,buildings
train/buildings/0069.jpg,buildings
train/buildings/0070.jpg,buildings
train/buildings/0071.jpg,buildings
train/buildings/0072.jpg,buildings
train/buildings/0073.jpg,buildings
train/buildings/0074.jpg,buildings
train/buildings/0075.jpg,buildings
train/buildings/0076.jpg,buildings
train/buildings/0077.jpg,buildings
train/buildings/0078.jpg,buildings
train/buildings/0079.jpg,buildings
train/buildings/0080.jpg,buildings
train/buildings/0081.jpg,buildings
train/buildings/0082.jpg,buildings
train/buildings/0083.jpg,buildings
train/buildings/0084.jpg,buildings
train/buildings/0085.jpg,buildings
train/buildings/0086.jpg,buildings
train/buildings/0087.jpg,buildings
train/buildings/0088.jpg,buildings
train/buildings/0089.jpg,buildings
train/buildings/0090.jpg,buildings
train/buildings/0091.jpg,buildings
train/buildings/0092.jpg,buildings
train/buildings/0093.jpg,buildings
train/buildings/0094.jpg,buildings
train/buildings/0095.jpg,buildings
train/buildings/0096.jpg,buildings
train/buildings/0097.jpg,buildings
train/buildings/0098.jpg,buildings
train/buildings/0099.jpg,buildings
train/buildings/0100.jpg,buildings
train/buildings/0101.jpg,buildings
train/buildings/0102.jpg,buildings
train/buildings/0103.jpg,buildings
train/buildings/0104.jpg,buildings
